Provinsi / Kabupaten / Kota,Keterlibatan Perempuan di Parlemen (Persen),,,,,,
,2010,2011,2012,,,,
LOMBOK UTARA,4,4,4,,,,
KOTA MATARAM,8.57,8.57,8.57,,,,
KOTA BIMA,4,8,8,,,,
NUSA TENGGARA TIMUR,7.27,7.27,7.27,,,,
SUMBA BARAT,0.01,0.01,0.01,,,,
SUMBA TIMUR,13.33,13.33,13.33,,,,
KUPANG,3.3,11.43,11.43,,,,
TIMOR TENGAH SELATAN,17.5,15,12.5,,,,
TIMOR TENGAH UTARA,13.33,10,13.33,,,,
BELU,20,20,20,,,,
ALOR,4,4,4,,,,
LEMBATA,5,8,8,,,,
FLORES TIMUR,6.67,6.67,6.67,,,,
SIKKA,6.67,6.67,6.67,,,,
ENDE,10,10,10,,,,
NGADA,10,10,10,,,,
MANGGARAI,10,10,10,,,,
ROTE NDAO,16,16,16,,,,
MANGGARAI BARAT,0.01,0.01,0.01,,,,
SUMBA TENGAH,0.01,6.67,6.67,,,,
SUMBA BARAT DAYA,6.9,6.9,0.01,,,,
NAGEKEO,0.01,0.01,0.01,,,,
MANGGARAI TIMUR,0.01,3.33,3.33,,,,
SABU RAIJUA,12.82,12.82,0.01,,,,
MALAKA,-,-,-,,,,
KOTA KUPANG,3.33,3.33,3.33,,,,
KALIMANTAN BARAT,5.45,5.45,7.27,,,,
SAMBAS,11.11,11.11,11.11,,,,
BENGKAYANG,10.34,10.34,10.34,,,,
LANDAK,5.71,5.71,5.71,,,,
PONTIANAK,4.44,4.44,4.44,,,,
SANGGAU,14.29,14.29,14.29,,,,
KETAPANG,5,5,5,,,,
SINTANG,11.43,11.43,11.43,,,,
KAPUAS HULU,6.67,6.67,6.67,,,,
SEKADAU,8,8,8,,,,
MELAWI,0.01,0.01,0.01,,,,
KAYONG UTARA,0.01,0.01,0.01,,,,
KUBU RAYA,4.44,4.44,4.44,,,,
KOTA PONTIANAK,4.44,13.33,13.33,,,,
KOTA SINGKAWANG,8,8,8,,,,
KALIMANTAN TENGAH,17.78,17.78,17.78,,,,
KOTAWARINGIN BARAT,16.67,16.67,16.67,,,,
KOTAWARINGIN TIMUR,14.71,14.29,14.71,,,,
KAPUAS,17.14,8.57,11.43,,,,
BARITO SELATAN,24,24,24,,,,
BARITO UTARA,24,24,24,,,,
SUKAMARA,20,20,20,,,,
LAMANDAU,5,5,5,,,,
SERUYAN,16,16,16,,,,
KATINGAN,16,16,16,,,,
PULANG PISAU,28,28,28,,,,
GUNUNG MAS,35,35,35,,,,
BARITO TIMUR,10,10,10.53,,,,
MURUNG RAYA,10,10,10,,,,
KOTA PALANGKA RAYA,12,12,12,,,,
KALIMANTAN SELATAN,10.91,14.55,16.36,,,,
TANAH LAUT,16.67,16.67,16.67,,,,
KOTA BARU,22.86,22.86,22.86,,,,
BANJAR,17.5,20,20,,,,
BARITO KUALA,10,10,3.33,,,,
TAPIN,16,16,20,,,,
HULU SUNGAI SELATAN,10,10,10,,,,
HULU SUNGAI TENGAH,20,20,20,,,,
HULU SUNGAI UTARA,10,6.67,10,,,,
